S/N,Interview Unique Indentifier (IUI),Timestamp,User's thoughts or feeling,Designer's guess,Rater 1,Rater 2,Rater 3,Empathic Accuracy (EA),User's Emotional Tone,Designer's Guess of User's Emotional Tone,Emotional Tone Accuracy (ETA),,,,,,,,,,,,,,,,,,,,
40,4,21:55,I was flashing back to the bumbs in the city and how you keep the speed low,They were thinking how some traffic signs are easy to understand,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
41,5,2:28,I was thinking I had no idea how often I drive a car,I was thinking when do I drive and how it has changed recently,1,1,1,1.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
42,5,2:55,I was thinking car is just a transport vehicle for me,I was thinking if I pronounced the words for what I wanted to say,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
43,5,3:06,I was not prepared for this kind of question and I was feeling a bit awkward while trying to think my answer,I was thinking of driving longer distances somewhere nice,0,0,0,0.000,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
44,5,3:24,I was feeling more awkward because I had to analyse my initial answer even more,I was trying to think how to explain what I mean,0,0,1,0.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
45,5,3:44,I was deciding that I like driving more than dislike,"I was trying to think if I like or dislike driving, if it is more positive or negative",1,2,2,1.667,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
46,5,8:00,I was thinking about the same scenario without raining,I was thinking about the scenario and what I would like to see around me in the rain,1,2,1,1.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
47,5,8:44,I was thinking about bigger cities ,I was imagining the scenario with tall buildings,0,2,1,1.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
48,5,11:40,I was thinking about videos,I was thinking it was hard to put it into words why video is better than sound or a picture,1,1,0,0.667,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
49,5,13:59,I was thinking that the device would have been really useful in small driving tunnels in some cities. That would have saved me from a lot of anxiety last summer.,I was thinking back to time when I drove in that tunnel and someone might have come at me from the other direction,1,0,2,1.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
50,5,14:12,"I was feeling a bit tired, and not creative at all",I was thinking that I cannot not think of any more uses for the device,1,1,1,1.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
51,6,2:22,I was feeling ashamed for going to the store by car.,She / He was thinking how to answer the question,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
52,6,2:45,I was happy because I thought of our summer cottage.,She / He was thinking why the interviewer commented on the cottage location,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
53,6,3:16,I was happy because driving is fun.,She / He was thinking if he likes or dislikes driving,1,0,0,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
54,6,4:28,"I was feeling embarrassed or not good enough or afraid to get caught, since I'm bad at imagining things. ",She / He was thinking how the interviewer just moved ahead with the interview and did not follow up.,0,1,0,0.333,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
55,6,4:46,I was surprised and hyped about magic. ,She / He was feeling surprised to hear that magic was allowed,2,1,0,1.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
56,6,6:55,I was trying to find the word for anticipate.,She / He was thinking how to explain what I want to know about the other road users in the rain,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
57,6,7:52,I was trying to find the word for pedestrian crossing.,She / He was trying to think of a word for the curb or cross road,2,2,0,1.333,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
58,6,8:12,I was feeling the fear of hitting a biker,She / He was thinking of bikers appearing suddenly when driving,1,1,1,1.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
59,6,12:01,I was feeling proud of my invention,She / He was wondering if he should say some more or if it was enough,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
60,6,13:13,I was feeling stupid for saying files instead of lanes.,She / He was thinking he was starting to be out of ideas,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
61,7,2:02,I was having good memories about summer driving,she was thinking of traveling in the city in a car,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
62,7,2:54,I was happy to find the words that I was looking for,she was thinking how to best express how she feel about driving and the freedom it gives,1,0,0,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
63,7,3:23,I was feeling curious,she was not sure she knew what was coming,0,0,1,0.333,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
64,7,3:32,I was trying to imagine the situation,She was thinking of the scenario of an intersection,2,1,1,1.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
65,7,3:57,I was not sure what else I could say,she was not sure if she had answered right,1,0,0,0.333,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
66,7,5:24,I was trying to remember what would be good to have in that type of situation,She was thinking what she could say,1,0,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
67,7,5:35,I was trying to find the words to explain the water repelling system,She was thinking what the word for a windshield is,0,1,0,0.333,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
68,7,6:04,I was feeling happy,She was thinking that how did she guess I wanted to stop the rain,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
69,7,7:01,I was feeling thoughtful ,She was thinking of the scenario with tall buildings in the intersection,1,0,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
70,7,11:17,I was trying to think what could be a good distance to have that information,She was thinking of what time or distance was good enoguh to get an early warning,2,1,2,1.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
71,8,03:00,I was thinking main pupose is never same. It is just need base activity. ,He was thinking if his estimate was correct on how often he drives,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
72,8,04:25,I was thinking driving give a sense of acomplishment to me as well. That I can remember things. ,He was thinking how he is getting better at driving and he likes it,1,1,2,1.333,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
73,8,04:48,I was thinking I have never thought too deep why I like driving ,"He was trying to think what to say, it was difficult",0,0,1,0.333,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
74,8,05:52,I was thinking I never thought what more is needed than the knowledge of traffic I already had,He was thinking of the scenario of an intersection with pedestrians,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
75,8,16:42,"I was thinking I wish this device understand the scenario and pull traffic guideline, to be followed ",He was trying to think if he can think of anything else where the device is useful,1,1,0,0.667,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
76,8,19:34,I was finding it a little hard for me to think immediately what could be possible.,He was feeling embarrased saying he would like a deivce that warend about the police but relieved that it was received well,0,0,0,0.000,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
77,9,2:38,I was imagining the two cars of my boyfriend that I drive the most often,"She / He was thinking the answer was really vague, but funny",0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
78,9,2:48,I was thinking if not driving to grocery store I drive to my boyfriend's dad's house or from our another home in city to city to see my friends or to visit a doctor.,She / He was thinking if grocery store really was the right answer,1,0,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
79,9,5:57,"I was thinking, If anything would be possible, what would you see? – a difficult question to answer. Of course you would hope you have eyes all around your head. In the traffic lights, you don't have to worry too much about the dead angle, so everything that you would like to see is related to watching forward or to the sides in front of you.",She / He was thinking what else is there to see in an intersection,1,1,0,0.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
80,9,8:09,"I was thinking of driving in the dense rain. I am imagining the last time I had to drive a 200 km distance, and it rained cats and dogs. Unpleasant. I am facing dense rains way too often nowadays because of the global warming and because i nowadays live in south, not north (in northern it snows during the winters, in the south it seems to be rather raining). I don't like it because when it rains a lot the driving is super difficult and you need to be very cautious about the other road users as well. On the other hand, I  am not scared of dense raining because I have a lot of driving experience. ",She / He was imagining the rainy scenario,1,1,1,1.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
81,9,10:04,"I was thinking maybe I have not driven enough in the city yet, since I did not imagine any intersection in which there would be tall buildings on both sides blocking my both views. ","She / He was rethinking what the secario as since it was an intersection, not a round about",0,1,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
82,9,11:34,"I am thinking about a situation in which a car did not even slow speed while driving to the interception. It was driving directly and did not turn, but the traffic lights for that car were red.",She / He was thinking back to a time when some one came down hill really fast toward her,1,2,0,1.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
83,9,12:28,I was thinking not once or twice I have had to make emergency stop because of bicycle popping from the right when I am turning and had already watched to both pedestrian/bicycle route directions and/or stopped my car once. ,She / He was thinking back to her driving school instructor always reminding of bikes and pedestrians,0,0,0,0.000,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
84,9,16:06,"I was thinking this is another difficult question. What makes the question difficult is I don't yet fully perceive the possibilities of this device, it would require a bit longer thin thank and analysis of my every day driving. Interesting question, though.",She / He was trying to think how to answer when to use the device,1,1,0,0.667,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
85,9,17:04,"I was thinking good brain activation from the interviewer to direct me to think of other situations than the previous interception. Foggy & snowy driving conditions, especially outside the city area. I am imagining cases when I was driving from place to place with an impossible weather both times and there were no lights in some parts of the road. When the light that your car has reflects back from the snow particles, you might feel a little challenged to drive. Then another situation I was thinking are all the times I've seen an elk cross the road in front of me and if that earlier weather condition would be combined with the elk I think my chances spotting the elk would be rather small.","She / He was trying to think how to describe a heavy snowstorm and low visibility due to reflective lights, she has experienced many times",1,1,2,1.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
86,9,19:02,"I was thinking now that I figured the situation of one car passing another, in addition to usage in interceptions, that is the situation in which the device could really be usefull. Sometimes you can not see anything from the back of big truck or because the road is too curly even if passing in that spot would be allowed. Lastly, sometimes there is so much traffic that you do not have the spot to pass. When most of the drivers understand that, almost every time i drive a longer distance (>150 km) I see a courageous passing that could have ended up really badly. I was imagining one passing right when speaking. It was in a matter of seconds to avoid the crash.",She / He was trying to think how to say it in English,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
87,10,2:10,I was thinking finally  my husband came to pick the daughter (relief),"she was trying to think when did I drive last, I was not sure.",0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
88,10,5:12,"I was thinking my English is awful, what happened to it?",she was feeling anxious and uncomfortable thinking about driving since she was uncomfortable driving,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
89,10,5:37,"I was thinking I will fail it, I am useless interviewee, I am not creative ",she was amused that she said magic was allowed,0,0,0,0.000,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
90,10,6:13,"I was thinking that's all what I had to say but I have to look more intelligent, let's find something else",I was imagining the scenario and trying to think what else I would like to know,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
91,10,7:53, I was thinking I am saying rubbish,I was feeling silly talking about a plane scenario,0,1,2,1.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
92,10,8:40,I was thinking finally some useful thing came to my mind ,"I was thinking what information I need in the rainy scenario, maybe when it ends",0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
93,10,8:52,I was thinking if that was the sound of my baby I heard? ,I was thinking could I really just wait the rain out,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
94,10,8:57,I was hoping my baby is not hungry,I was trying to think what else to say,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
95,10,11:32,"I was thinking it has happened to me, I know what to answer",I was not sure I understood the scenario first,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
96,10,11:35,I was thinking interviewer has really great English,I was imaging the intersection with tall buildings,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
97,11,2:46,I was trying to remember when I last visited my parents,I was trying to think when did I last visit my parents,2,2,2,2.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
98,11,3:23,I was trying to remember the typical situations when I used to drive,I was thinking back to before the pandemic and when did I drive then,1,1,2,1.333,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
99,11,5:35,I was thinking of what makes driving a car feel nice,I was trying to think how to describe how I feel about driving. It was difficult,1,0,0,0.333,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
100,11,6:22,I was thinking of an answer to the question,I was trying to think what to say. ,2,2,2,2.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
101,11,10:31,I was reminded of a related device in a previous job of mine,I was not able to think of anything else to say,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
102,11,16:15,"I was trying to remember the correct translation, possibly mixing cycling terms",I was able to come up with an example to explain better what I meant about only getting the relevant information,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
103,11,18:21,I was thinking its time to correct my sitting posture ,I had hard time coming up with other scenarios,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
104,11,19:50,I was trying to comprehend what kind of answers the question is trying to get,I was getting a bit bored of the questions,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
105,11,21:37,"I was thinking of the usual trouble of designing something to work intuitively, how few products manage to function as expected, and the ""it just works"" slogans/arguments.",I was trying to find words to describe what I wanted to say,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
106,11,22:38,I was having a bit deeper knowledge of the different GNSS's it always hurts a bit to use GPS as a synonym for GNSS. ,I was thinking how it would be great if the navigation and routes were automatically updated if there was a traffic jam,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
107,12,01:57,I was thinking of repairing of car ,I was trying to think how often I drive,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
108,12,2:23,I was thinking of spending lot of time driving,I was thinking if I estimated the distance correctly,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
109,12,2:59,I was remembering driving time in summer ,I was thinking of a nice drive in a nice weather,2,1,0,1.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
110,12,3:38,I was thinking of beautiful places in the city  which I explore while driving,I was not sure she understood me or if I expalined it well,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
111,12,5:13,I was thinking of driving in city center during  busy hours,"I was trying to think what information I would need in that scenario, it was a difficult question",0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
112,12,7:13,"I was thinking  deep concentration is needed while driving, to keep save ourself and others also.",I was feeling the questions repeat,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
113,12,8:15, I was thinking of driving in dense rain or not ideal suitation,I was feeling a little bored,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
114,12,11:52,I was feeling how difficult it is to drive in some residential area,"I was trying to think how to descrbe what I wanted to say, what else than a mirror",0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
115,12,16:41,I was thinking of how nicely technology can improve everything in our life,I was not able to think of more than the three situations,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
116,12,19:45,I was thinking its not good feeling to drive in rush hours,I was feeling silly suggesting things that might not be possible like predict traffic before hand,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
117,13,2:50,I was nervous when I needed to define driving,She / He was thinking how to give a definition of driving since she is not a car person and does not have many experience of driving,1,2,1,1.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
118,13,6:00,I was running my brain to imagine the scenario,She / He was thinking about the scenario and dangers from pedestrians,1,1,2,1.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
119,13,7:30,I was using my brain to imagine the scenario,She / He was thinking that she needs information from two sides since she is not a very experienced driver and has difficluties to drive in city centre with many persons around,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
120,13,8:50,I was feeling happy when we are talking something related to my personality,She / He was thinking is it a good thing to share in an interview?,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
121,13,14:00,I was thinking I do need reminder when driving,She / He was imagining how to report the information to driver ,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
122,13,17:10,I was a bit unsure how I will measure the reliability of a device,She / He was feeling it is hard to explain how to trust a device and thinking how to answer this question,2,2,1,1.667,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
123,13,20:00,"I was not reacting quickly to the word ""driving assistant"" lol",She / He was thinking what is a driving assistant and feeling the interviewer gets her point,1,1,0,0.667,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
124,13,21:45,"I was unsure what interviewer said ""xxxx can""?",She / He was thinking she is repeating her answer and she really feels the demands of automatic parking support of driving,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
125,13,23:40,I was great,She / He was thinking she forgot the English word or if she said it properly,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
126,13,26:33,I was reminded with some good idea again,She / He was thinking how to say it clearly in english and feeling this setting is useful,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
127,14,3:05,I was happy with the memory renting a car to travel with my friends,He was thinking about his driving purposes and experience of visiting some places,1,1,1,1.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
128,14,7:20,I was a little nervous recalling the scenario; I need to be very focus when driving in the center of cities,He was thinking that he doesn't fully understand the question and need more details to answer the question,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
129,14,8:33,I was thinking of the motorbikes near my cars in a bridge,He was feeling a little embarrassing since it is very common situation in the city that other road users (motorbikes) will cross the street without following the light and debating if it is ok to say it in interview,0,1,1,0.667,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
130,14,9:07,"I was thinking of the cars nearby in the intersection, some will go very fast and take my road in the intersection. ","He was thinking um, that's a good point since car behind me also matters",0,1,0,0.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
131,14,11:35,I was nervous thinking of a stone in front of my road when raining,He was feeling confused about the question,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
132,14,12:22,I was thinking about the bikes in the roads,He was thinking he did not think about cycling before ,1,1,0,0.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
133,14,14:04,I was a little lost as I did not recall such a moment that the high building block my sights,He was feeling awkward about his English is not that fluent and was thinking he could express more clearly in his native,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
134,14,15:00,I was excited to hear such a device,"He was thinking this is a good question and don't know how to respond, also imaging how to transfer the information to him",0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
135,14,17:48,"I was thinking of the bad weather conditions, it can be a good reminder",He was feeling he was repeating the answers and not sure if this is what the interivewer wants,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
136,14,21:23,"I was thinking that I can control the device by myself, no need to worry if it is distracting",He was feeling released since he came up with an answer,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
137,15,2:30,I was happy to talk about where am I from,He was thinking about the time of having a driving license and feeling time passed so fast.,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
